time,proc
2019-04-18 00:28:43,6
2019-04-18 03:40:24,30
2019-04-18 14:21:38,30
2019-04-18 18:34:18,30
2019-04-18 20:52:03,30
2019-04-18 22:58:54,18
2019-04-19 12:11:40,16
2019-04-19 19:45:56,30
2019-04-19 20:59:25,16
2019-04-20 00:24:21,32
2019-04-20 01:12:21,30
2019-04-20 15:58:16,15
2019-04-20 18:10:19,18
2019-04-20 20:29:06,6
2019-04-21 00:31:40,15
2019-04-21 02:47:59,30
2019-04-21 14:13:23,6
2019-04-21 14:46:57,6
2019-04-21 15:18:39,0
2019-04-22 11:02:04,33
2019-04-22 19:22:29,30
2019-04-23 15:36:45,30
2019-04-23 16:36:28,33
2019-04-23 23:25:30,6
2019-04-24 15:49:28,6
2019-04-24 16:26:07,18
2019-04-24 16:57:34,6
2019-04-24 19:30:17,16
2019-04-24 23:29:16,4
2019-04-25 00:08:46,4
2019-04-25 16:19:30,6
2019-04-25 17:10:04,10
2019-04-25 17:57:08,6
2019-04-25 23:59:00,6
2019-04-26 17:36:33,22
2019-04-26 22:34:13,30
2019-04-27 10:07:07,30
2019-04-27 16:21:31,30
2019-04-27 16:55:32,23
2019-04-27 19:19:37,30
2019-04-28 01:12:29,30
2019-04-28 14:32:27,22
2019-04-28 15:05:46,0
2019-04-28 16:12:34,0
2019-04-28 20:52:38,6
2019-04-28 22:08:21,18
2019-04-28 22:47:09,18
2019-04-29 01:40:16,30
2019-04-29 19:52:53,18
2019-04-29 21:00:38,6
2019-04-29 21:46:02,6
2019-04-29 22:56:20,9
2019-05-02 15:52:12,6
2019-05-04 16:20:38,6
2019-05-04 19:34:35,22
2019-05-04 20:09:41,22
2019-05-04 21:05:53,37
2019-05-04 22:37:30,22
2019-05-04 23:25:31,22
2019-05-05 13:08:23,15
2019-05-05 16:48:03,22
2019-05-05 18:23:44,6
2019-05-05 18:58:21,22
2019-05-05 19:33:16,22
2019-05-05 20:37:53,22
2019-05-05 22:00:13,22
2019-05-06 00:26:07,22
2019-05-06 01:28:10,22
2019-05-06 02:17:04,22
2019-05-06 03:20:32,22
2019-05-06 21:43:07,22
2019-05-06 23:47:17,15
2019-05-07 12:05:53,0
2019-05-07 13:40:07,6
2019-05-08 13:02:27,6
2019-05-08 13:38:52,22
2019-05-08 20:47:09,15
2019-05-09 16:00:27,15
2019-05-11 17:11:45,0
2019-05-13 13:59:45,15
2019-05-13 16:15:41,15
2019-05-13 18:50:15,0
2019-05-15 15:19:14,0
2019-05-15 17:16:58,0
2019-05-15 21:50:17,15
2019-05-15 23:29:35,15
2019-05-17 14:25:25,6
2019-05-18 22:15:50,0
2019-05-18 22:58:53,16
2019-05-19 01:18:50,15
2019-05-19 15:34:50,6
2019-05-22 17:37:03,16
2019-05-22 18:20:41,16
2019-05-23 11:53:15,18
2019-05-23 20:03:21,15
2019-05-24 15:31:37,22
2019-05-24 18:32:13,38
2019-05-24 19:05:39,18
2019-05-24 20:08:00,6
2019-05-24 20:43:37,6
2019-05-25 00:03:09,6
2019-05-25 13:23:29,15
2019-05-25 17:47:04,0
2019-05-26 14:49:59,39
2019-05-26 17:26:58,6
2019-05-26 20:34:30,6
2019-05-26 22:40:07,22
2019-05-26 23:47:05,6
2019-05-27 15:40:50,24
2019-05-28 13:08:28,22
2019-05-30 18:12:07,6
2019-05-30 21:12:05,15
2019-05-31 13:09:10,6
2019-05-31 15:03:53,6
2019-05-31 16:54:07,0
2019-05-31 20:37:58,2
2019-06-01 01:31:08,40
2019-06-01 13:53:27,0
2019-06-01 15:49:32,0
2019-06-01 16:24:04,42
2019-06-01 23:03:20,43
2019-06-02 00:29:09,15
2019-06-02 02:35:29,45
2019-06-02 17:26:50,0
2019-06-02 18:34:16,41
2019-06-03 14:44:30,6
